Issuer Company,Listing Date,Issue Price,Lot Size,Issue Price (Rs Cr),P/E Ratio,QIB,NII,RII,EMP,TOTAL,Open Price,Low Price,High Price,Close Price,% Change
KFin Technologies Limited,12/29/22,366,40,1500,35.92,4.17,0.23,1.36,,2.59,369,351.1,372.4,364,-0.55
Dollex Agrotech Limited,12/28/22,35,4000,24.39,14.46,,1.46,2.29,,1.88,30,30,31.5,31.5,-10
Landmark Cars Limited,12/23/22,506,29,552,27.61,8.71,1.32,0.59,2.93,3.06,471.3,446.45,480.65,460.05,-9.08
Abans Holdings Limited,12/23/22,270,55,345.6,18.96,4.1,1.48,0.4,,1.1,270,216,272,216.05,-19.98
Droneacharya Aerial Innovations Limited,12/23/22,54,2000,33.97,45,46.21,287.8,330.82,,243.7,102,96.9,107.1,107.1,98.33
Sula Vineyards Limited,12/22/22,357,42,960.35,49.24,4.13,1.51,1.65,,2.33,358,328.6,363.4,331.15,-7.24
All E Technologies Limited,12/21/22,90,1600,48.2,15.36,13.53,237.07,132.46,,88.69,125,120.1,131.25,131.25,45.83
PNGS Gargi Fashion Jewellery Limited,12/20/22,30,4000,7.8,6.77,,213.21,248.68,,230.94,57,57,59.85,59.85,99.5
Arham Technologies Limited,12/15/22,42,3000,9.58,13.82,,418.27,481.79,,450.03,60,58.25,63,63,50
Uniparts India Limited,12/12/22,577,25,835.61,12.89,67.14,17.86,4.63,,25.32,575,536.15,577,539.55,-6.49
Pritika Engineering Components Limited,12/8/22,29,4000,9.42,8.76,,144.47,172.65,,158.56,42.2,40.1,44.3,44.3,52.76
Baheti Recycling Industries Limited,12/8/22,45,3000,12.42,13.55,,259.21,435.65,,347.53,120,114,126,114,153.33
Dharmaj Crop Guard Limited,12/8/22,237,60,251.15,14.55,48.21,52.29,21.53,7.48,35.49,266,264.1,278.9,266.4,12.41
AMBO Agritec Ltd,12/2/22,30,4000,10.2,14.22,,323.51,350,,336.75,40.1,39.3,42.1,42.1,40.33
Keystone Realtors Limited,11/24/22,541,27,635,365.54,3.84,3.03,0.53,,2.01,555,555,568.25,557.8,3.11
Inox Green Energy Services Limited,11/23/22,65,230,740,-327,1.05,0.47,4.7,,1.55,60.5,58.5,63.95,59.1,-9.08
Kaynes Technology India Ltd,11/22/22,587,25,857.82,84.95,98.47,21.21,4.1,11.92,34.16,775,675,787,690.1,17.56
Archean Chemical Industries Limited,11/21/22,407,36,1462.31,16.78,48.91,14.9,9.96,,32.23,449,440.05,476.05,457.95,12.52
Five Star Business Finance Ltd,11/21/22,474,31,1593.45,24.76,1.77,0.61,0.11,,0.7,449.95,448.2,539.9,489.5,3.27
Technopack Polymers Limited,11/16/22,55,2000,7.87,10.54,,19.82,19.81,,19.81,74,70.3,77.7,77.7,41.27
Amiable Logistics (India) Limited,11/16/22,81,1600,4.37,10.9,,186.03,281.98,,234,129.95,125,136.4,136.4,68.4
Bikaji Foods International Limited,11/16/22,300,50,881.22,119.05,80.63,7.1,4.77,4.38,26.67,321.15,314,335,317.45,5.82
Global Health Limited,11/16/22,336,44,2205.57,38.36,28.64,4.02,0.88,,9.58,398.15,391.05,424.9,415.65,23.71
Fusion Micro Finance Limited,11/15/22,368,40,1103.99,12.33,8.59,1.38,0.51,,2.95,360.5,321.4,364.35,324.9,-11.71
DAPS Advertising Limited,11/14/22,30,4000,5.1,8.82,,83.24,48.63,,65.93,57,54.15,59.85,55.1,83.67
Vital Chemtech Limited,11/14/22,101,1200,64.64,14.94,15.48,204.05,116.98,,79.33,164,155.8,170,163.1,61.49
Rite Zone Chemcon India Ltd,11/11/22,75,1600,8.96,90.36,,2.36,7.1,,4.73,82.85,78.75,86.95,86.95,15.93
DCX Systems Limited,11/11/22,207,72,500,90,84.32,43.97,61.77,,69.79,286.25,286.25,319.75,308.8,49.18
Integrated Personnel Services Limited,11/11/22,59,2000,12.74,12.77,,14.67,24.49,,19.58,66.5,65,69.8,69.8,18.31
Phantom Digital Effects Limited,10/21/22,95,1200,29.1,6.72,14.75,554.76,207.08,,164.22,300,290.05,315,312.7,229.16
Pace E-Commerce Ventures Limited,10/20/22,103,1200,66.53,429.16,,1.72,0.55,,1.14,104.5,104.5,109.7,109.7,6.5
Tracxn Technologies Limited,10/20/22,80,185,309.38,240,1.66,0.8,4.87,,2.01,83,83,99.6,93.35,16.69
Electronics Mart India Limited,10/17/22,59,254,500,13.95,169.54,63.59,19.72,,71.93,89.4,83.2,91,84.45,43.14
Maagh Advertising And Marketing Services Ltd,10/13/22,60,2000,9.12,37.5,,2.05,0.31,,1.18,62.3,62.3,65.4,65.4,9
Frog Cellsat Limited,10/13/22,102,1200,41.57,10.93,5.36,70.94,22.1,,21.06,177,168.15,185.85,185.8,82.16
Swastik Pipe Limited,10/12/22,100,1200,62.52,11.38,,1.37,1.33,,1.35,66,66,69.3,69.3,-30.7
Vedant Asset Limited,10/12/22,40,3000,3,80,,42.98,55.16,,49.07,65,65,68.25,68.25,70.63
QMS Medical Allied Services Ltd,10/11/22,121,1000,56.87,20.1,,1.25,0.51,,0.88,128,128,134.4,134.4,11.07
Lloyds Luxuries Limited,10/11/22,40,3000,24,,,11.64,1.81,,6.73,45.15,42.9,46.8,42.9,7.25
Insolation Energy Limited,10/10/22,38,3000,22.16,11.41,,150.02,235.55,,192.79,76.1,72.55,79.9,79.9,110.26
Silicon Rental Solutions Limited,10/10/22,78,1600,21.15,10.73,,2.85,2.92,,2.89,80,80,84,84,7.69
Cargosol Logistics Limited,10/10/22,28,4000,7.56,5.15,,84.61,26.26,,55.43,42.4,40.6,44.5,44.5,58.93
Concord Control Systems Limited,10/10/22,55,2000,8.32,12.14,15.18,307.4,424.26,,202.41,109.95,109.95,115.4,115.4,109.82
Trident Lifeline Limited,10/10/22,101,1200,35.34,51.53,,1.69,0.98,,1.34,105,105,110.25,108.15,7.08
Steelman Telecom Limited,10/10/22,96,1200,26.02,23.41,7.78,70.09,22.82,,22.4,161,161,169.05,169.05,76.09
Reetech International Cargo and Courier Ltd,10/10/22,105,1200,11.71,10.64,,1.43,1.92,,1.67,82,77.9,84,83.6,-20.38
Cargotrans Maritime Limited,10/10/22,45,3000,4.86,7.77,,129.63,166.86,,148.25,70,66.5,73.5,73.5,63.33
Cyber Media Research & Services Ltd,10/10/22,180,800,14.04,34.95,6.29,62.58,27.84,,22.31,245.25,245.25,257.5,257.5,43.06
Mafia Trends Limited,10/6/22,28,4000,3.6,15.21,,3.91,5.97,,4.94,32.65,31.05,32.65,31.1,11.07
Containe Technologies Ltd,9/30/22,15,8000,2.62,214,,155.13,86.33,,121.31,22,20.9,23.1,23.1,54
Maks Energy Solutions India Ltd,9/28/22,20,6000,4,,,36.2,16.43,,26.31,20,20,21,21,5
Kandarp Digi Smart BPO Ltd,9/28/22,30,4000,8.1,28.57,,0.88,2.8,,1.84,30,28.5,30,28.5,-5
Varanium Cloud Limited,9/27/22,122,1000,36.6,14.59,,5.83,5.09,,5.46,131,124.45,136.45,128.55,5.37
Annapurna Swadisht Limited,9/27/22,70,2000,30.25,21.94,18.34,301.13,225.54,,133.43,120,114,126,126,80
Harsha Engineers International Ltd,9/26/22,330,45,755,32.67,178.26,71.32,17.63,12.07,74.7,444,431,527.6,485.9,47.24
Tapi Fruit Processing Ltd,9/22/22,48,3000,5.21,120,,1.93,3.32,,2.62,52.1,49.6,54.7,54.7,13.96
Ishan International Limited,9/22/22,80,1600,18.24,38.09,,1.6,1.65,,1.62,82,77.9,86.1,82.8,3.5
Sabar Flex India Limited,9/21/22,11,10000,4.48,9.48,,116.46,54.47,,85.47,21,20.1,22.05,22.05,100.45
Shantidoot Infra Services Limited,9/19/22,81,1600,4.02,10.37,,2.36,3.33,,2.85,105,105,110.25,110.25,36.11
Mega Flex Plastics Limited,9/19/22,40,3000,11.4,16.19,,52.86,39.75,,46.31,54,51.3,56.7,56.7,41.75
Viviana Power Tech Limited,9/16/22,55,2000,8.8,11.29,,97.47,72.95,,85.21,90,87,94.5,94.5,71.82
Virtuoso Optoelectronics Limited,9/15/22,56,2000,30.24,6.92,,112.87,80.95,,96.91,117,111.15,122.85,115.4,106.07
Tamilnad Mercantile Bank Limited,9/15/22,510,28,807.84,9.22,1.62,2.94,6.48,,2.86,510,484.5,519,508.45,-0.3
EP Biocomposites Limited,9/13/22,126,1000,6.35,26.2,,21.58,15.44,,18.51,160.25,160.25,168.25,168.25,33.53
Ameya Precision Engineers Ltd,9/8/22,34,4000,7.14,16.75,,259.16,243.53,,251.35,68.4,65,71.8,65.4,92.35
Dipna Pharmachem Limited,9/8/22,38,3000,15.21,39,,0.78,4.75,,2.77,32,30.4,33.6,33.4,-12.11
JFL Life Sciences Limited,9/8/22,61,2000,18.17,26.52,,6.19,11.66,,8.93,70,66.5,70,66.5,9.02
Jay Jalaram Technologies Ltd,9/8/22,36,3000,10.8,46,,18.56,11.38,,14.97,50,50,52.5,52.5,45.83
Dreamfolks Services Limited,9/6/22,326,46,562.1,104.82,70.53,37.66,43.66,,56.68,505,448.5,550,462.65,41.92
Rhetan TMT Limited,9/5/22,70,2000,56,63.64,,2.18,0.76,,1.47,70,66.5,72,66.5,-5
Naturo Indiabull Limited,9/2/22,30,4000,10.92,28.03,,8.44,32.08,,20.26,25,25,26.25,26.25,-12.5
Olatech Solutions Limited,8/29/22,27,4000,1.89,18,,517.71,679.94,,598.82,51.3,51.3,53.85,53.85,99.44
Syrma SGS Technology Ltd,8/26/22,220,68,840,50.69,87.56,17.5,5.53,,32.61,262,257,314.4,313.05,42.3
Veekayem Fashion and Apparels Limited,8/22/22,28,4000,4.44,8.72,,355.85,247.09,,301.47,49.9,47.45,52.35,50,78.57
Upsurge Seeds of Agriculture Limited,8/11/22,120,1200,22.81,21.35,,101.7,59.29,,80.5,140,135,147,147,22.5
Agni Green Power Limited,8/1/22,10,10000,5.25,250,,107.4,39.92,,73.66,25,23.75,26.25,26.25,162.5
Healthy Life Agritec Limited,7/26/22,10,10000,10,26.31,,5.22,11.19,,8.21,8.9,8.5,9.34,9.34,-6.6
Veerkrupa Jewellers Limited,7/18/22,27,4000,8.1,75,,,,,,27,25.65,27,25.65,-5
SKP Bearing Industries Limited,7/13/22,70,2000,30.8,9.49,,10.2,9.92,,10.06,73,70.5,74.5,72.45,3.5
Jayant Infratech Limited,7/13/22,67,2000,6.19,14.44,,4.23,3.76,,4,76,76,79.8,79.8,19.1
B Right Realestate Limited,7/13/22,153,800,44.36,164.52,,1.82,0.6,,1.21,155,147.25,162.75,154,0.65
Kesar India Limited,7/12/22,170,800,15.82,13.87,,2.62,0.91,,1.77,172.5,172.5,175.8,175.5,3.24
Mangalam Worldwide Limited,7/11/22,101,1200,65.58,20.12,,2.2,0.46,,1.33,102,96.9,104.95,102.55,1.53
KCK Industries Limited,7/8/22,30,4000,4.5,12.4,,3.02,8.79,,5.91,25,23.75,26.25,26.25,-12.5
Sailani Tours N Travels Limited,7/8/22,15,8000,1.9,187.5,,1.87,4.61,,3.24,15.5,15.5,16.27,16.27,8.47
Pearl Green Clubs and Resorts Limited,7/7/22,186,600,11.72,53.6,,1.78,1.35,,1.56,189.05,189.05,198.5,198.5,6.72
Modi's Navnirman Limited,7/6/22,180,800,22.68,57.32,,2.76,1.22,,1.99,189,184,194,188.95,4.97
Goel Food Products Limited,6/28/22,72,1600,7.21,10.84,,1.21,2.07,,1.64,75,75,78.75,78.75,9.38
Scarnose International Limited,6/27/22,55,2000,6.6,51.89,,2.09,2.34,,2.22,55.5,55.5,56.65,56.05,1.91
Silver Pearl Hospitality & Luxury Spaces Ltd,6/17/22,18,8000,9,120,,0.8,2.56,,1.68,16,15.2,16,15.2,-15.56
Fidel Softech Limited,6/10/22,37,3000,13.51,11.15,,138.34,67.44,,102.89,59.1,59.1,62.05,62.05,67.7
Rachana Infrastructure Limited,6/10/22,135,1000,76.28,138,,1.82,0.6,,1.21,138,138,140,138.55,2.63
Aether Industries Limited,6/3/22,642,23,808.04,72.3,17.57,2.52,1.14,1.06,6.26,706.15,699.85,776.75,776.75,20.99
Globesecure Technologies Limited,6/2/22,29,4000,10.13,17.9,,23.7,4.64,,14.17,36.5,34.7,38.3,37.1,27.93
eMudhra Limited,6/1/22,256,58,412.79,49.42,4.05,1.28,2.61,,2.72,271,255.4,279,258.85,1.11
Ethos Limited,5/30/22,878,17,472.29,96,1.06,1.48,0.84,,1.04,830,774,839.65,802.6,-8.59
Paradeep Phosphates Limited,5/27/22,42,350,1501.73,7.07,3.01,0.82,1.37,,1.75,43.55,42.95,47.25,43.95,4.64
Delhivery Limited,5/24/22,487,30,5235,-67.3,2.66,0.3,0.57,0.27,1.63,493,474,568.9,537.25,10.32
Venus Pipes & Tubes Limited,5/24/22,326,46,165.42,21.03,12.02,15.66,19.04,,16.31,335,335,351.75,351.75,7.9
Prudent Corporate Advisory Services Limited,5/20/22,630,23,538.61,33.94,1.26,0.99,1.29,1.23,1.22,660,541.15,660,562.7,-10.68
Life Insurance Corporation of India (LIC),5/17/22,949,15,21008.48,201.91,2.83,2.91,1.99,4.4,2.95,867.2,860.1,920,875.45,-7.75
Sonu Infratech Limited,5/13/22,36,3000,8.64,15.79,,13.43,19.6,,16.52,36,36,37.8,37.6,4.44
Rainbow Children's Medicare Limited,5/10/22,542,27,1580.85,43.53,38.9,3.73,1.38,0.31,12.43,506,421,519.35,450.1,-16.96
Le Merite Exports Limited,5/9/22,75,1600,48,11.09,,15.27,16.1,,15.69,75,71.25,78.75,78.75,5
Campus Activewear Limited,5/9/22,292,51,1400.14,78.49,152.04,22.25,7.68,2.11,51.75,355,336.8,417.7,378.6,29.66
Fone4 Communications (India) Limited,5/6/22,10,10000,6.8,142.86,,7.43,22.07,,14.75,10,9.5,10,9.5,-5
Nanavati Ventures Limited,5/6/22,50,3000,2.18,61.73,,13.86,51.17,,32.52,50,48.3,51.8,50.3,0.6
Global Longlife Hospital and Research Limited,5/4/22,140,1000,49,38.04,,1.6,1.4,,1.5,141.1,134.05,141.1,135.35,-3.32
Shashwat Furnishing Solutions Limited,5/4/22,45,3000,2.51,53.6,,2.43,6.81,,4.62,45,45,47,45.3,0.67
Jeena Sikho Lifecare Limited,4/19/22,150,1000,55.5,16.67,,2.8,1.69,,2.25,165.1,162.25,173.35,173.35,15.57
Eighty Jewellers Limited,4/13/22,41,3000,11.07,25.15,,2.88,2.03,,2.45,42,42,44.1,44.1,7.56
Hariom Pipe Industries Limited,4/13/22,153,98,130.05,15.15,1.91,8.87,12.15,,7.93,214,214,224.7,224.7,46.86
Sunrise Efficient Marketing Limited,4/12/22,121,1000,16.7,9.7,,1.78,1.13,,1.46,121.25,121.25,124.85,124.8,3.14
Dhyaani Tile And Marblez Limited,4/12/22,51,2000,2.45,15.94,,1.96,2.36,,2.16,52.25,51.45,54.85,54.8,7.45
Veranda Learning Solutions Limited,4/11/22,137,100,200,,2.02,3.87,10.76,,3.53,157,149.15,164.85,160.4,17.08
Ruchi Soya Industries Ltd,4/8/22,650,21,4300,30.86,2.2,11.75,0.9,7.76,3.6,850,825.7,940,924.85,42.28
Uma Exports Limited,4/7/22,68,220,60,12.81,2.81,2.22,10.11,,7.67,80,76,84,84,23.53
Krishna Defence and Allied Industries Limited,4/6/22,39,3000,11.89,18,8.84,159.9,132.28,,74.84,75,72,78.75,78.75,101.92
P. E. Analytics Limited,4/4/22,114,1200,31.6,14.56,13.22,126.4,59.2,,46.34,170,161.5,178.5,168.5,47.81
Empyrean Cashews Limited,3/31/22,37,3000,19.41,25.69,,2.92,1.63,,2.28,42,40.7,44.1,44.1,19.19
Achyut Healthcare Limited,3/30/22,20,6000,3.6,54.05,,1.95,6.75,,4.35,20.15,20,21.15,21.15,5.75
Evoq Remedies Limited,3/30/22,27,4000,9.72,33.75,,0.3,3.03,,1.67,25,23.75,25,23.75,-12.04
KN Agri Resources Limited,3/28/22,75,1600,49.38,5.57,10.66,771.64,87.52,,151.9,153.65,146,154,146,94.67
Swaraj Suiting Limited,3/28/22,56,2000,10.68,10.55,,13.81,10.46,,12.13,56,53.2,56,53.2,-5
Cool Caps Industries Limited,3/24/22,38,3000,11.63,16.38,,4.57,11.25,,7.91,35.9,34.15,37.65,37.65,-0.92
Bhatia Colour Chem Limited,3/24/22,80,1600,40,166,,2.69,0.18,,1.43,40,40,42,42,-47.5
SP Refractories Limited,3/22/22,90,1600,4.92,9.94,,5.64,8.85,,7.24,90.2,88,91,90.1,0.11
Shigan Quantum Technologies Limited,3/11/22,50,3000,22.7,12.41,,27.7,8.21,,17.95,61,58.2,64.05,64.05,28.1
Ekennis Software Service Limited,3/7/22,72,1600,2.88,11.4,,36.99,19,,28,80,80,84,84,16.67
Vaidya Sane Ayurved Laboratories Limited,2/23/22,73,1600,20.23,28.29,,2.66,2.98,,2.82,102,98,107.1,105.4,44.38
Richa Info Systems,2/21/22,125,1000,10,41.67,,3.16,6.94,,5.05,125,118.75,127,118.75,-5
Vedant Fashions Limited,2/16/22,866,17,3149.19,106.78,7.49,1.07,0.39,,2.57,936,921,993,934.85,7.95
Maruti Interior Products Limited,2/16/22,55,2000,11,12.59,,107.03,39.81,,73.42,68.5,68.5,71.9,71.9,30.73
Quality RO Industries Limited,2/9/22,51,2000,2.7,113,,4.46,10.06,,7.26,52.25,52.05,54.4,53.7,5.29
Safa Systems & Technologies Limited,2/9/22,10,10000,4,29.41,,64.61,40.81,,52.71,16.55,15.73,17.37,15.73,57.3
Adani Wilmar Limited,2/8/22,230,65,3600,44.66,5.73,56.3,3.92,0.51,17.37,221,221,265.2,265.2,15.3
Alkosign Limited,2/1/22,45,3000,12.15,,,3.14,6.39,,4.76,45.25,45.25,46.75,45.25,0.56
Precision Metaliks Limited,2/1/22,51,2000,21.93,19.32,,2.81,11.9,,7.36,75,71.25,75,71.25,39.71
Dj Mediaprint & Logistics Limited,1/31/22,125,1000,15,32.22,,5.5,14.32,,9.91,241.7,241.7,241.7,241.7,93.36
AGS Transact Technologies Ltd,1/31/22,175,85,680,,2.68,25.61,3.08,,7.79,176,153.8,181.85,161.3,-7.83
Fabino Life Sciences Limited,1/13/22,36,3000,3.24,133,,3.49,10.36,,6.93,38.45,36.55,40.35,40.35,12.08
Timescan Logistics (India) Limited,1/12/22,51,2000,4.81,10.87,,141.38,90.34,,115.86,82,82,86.1,86.1,68.82
Ascensive Educare Limited,1/12/22,26,4000,2.26,18.98,,1.24,4.11,,2.67,27.6,27.5,28.95,28.95,11.35
AB Cotspin India Limited,1/11/22,35,4000,10.09,2.71,,9.45,17.47,,13.46,38.5,38,40.4,40.4,15.43
Brandbucket Media & Technology Limited,12/31/21,55,2000,8.25,,,2.15,1.01,,1.58,55.25,52.5,55.25,52.5,-4.55
Vivo Collaboration Solutions Ltd,12/31/21,82,1600,4.4,,,292.86,273.08,,282.97,355.1,337.35,372.85,337.35,311.4
CMS Info Systems Limited,12/31/21,216,69,1100,,1.98,1.45,2.15,,1.95,218.5,215,260,237.4,9.91
Clara Industries Limited,12/29/21,43,3000,3.02,,,1.51,1.55,,1.53,43.2,43.2,45.3,44,2.33
Wherrelz IT Solutions Limited,12/29/21,171,800,2.01,,,1.65,2.86,,2.25,173.05,173.05,178.5,177.2,3.63
Foce India Limited,12/28/21,225,600,29.03,,,1.29,1.84,,1.57,225,225,231,225.7,0.31
Supriya Lifescience Limited,12/28/21,274,54,700,,31.83,161.22,56.01,,71.51,425,383.15,425,390.35,42.46
HP Adhesives Limited,12/27/21,274,50,125.96,,1.82,19.04,81.24,,20.96,319,319,334.95,334.95,22.24
Euro Panel Products Limited,12/24/21,70,2000,45.5,,,1.66,1.92,0.14,1.8,70,70,73.5,71.4,2
Data Patterns (India) Limited,12/24/21,585,25,588.22,,190.86,254.22,23.14,,119.62,864,744.05,864,754.85,29.03
Nupur Recyclers Limited,12/23/21,60,2000,34.2,,,53.12,34.23,,43.67,74,70.35,77.7,77.7,29.5
Medplus Health Services Limited,12/23/21,796,18,1398.3,,111.9,85.33,5.24,3.05,52.59,1015,1015,1143.1,1120.85,40.81
Metro Brands Limited,12/22/21,500,30,1367.51,,8.49,3.02,1.13,,3.64,436,426.1,507.7,493.55,-1.29
C.E. Info systems limited,12/21/21,1033,14,1039.61,,196.36,424.69,15.2,,154.71,1581,1282.2,1586.85,1394.55,35
Shriram Properties Limited,12/20/21,118,125,600,,1.85,4.82,12.72,1.25,4.6,94,91.75,106.35,99.4,-15.76
Rategain Travel Technologies Limited,12/17/21,425,35,1335.74,,8.42,42.04,8.08,1.37,17.41,364.8,334.1,382,340.5,-19.88
Anand Rathi Wealth Limited,12/14/21,550,27,660,,2.5,25.42,7.76,1.32,9.78,602.05,566.1,614.95,583.5,6.09
Tega Industries Limited,12/13/21,453,33,619.23,,215.45,666.19,29.44,,219.04,753,711.5,767.1,725.5,60.15
Star Health and Allied Insurance Company Ltd,12/10/21,900,16,7249.18,,1.03,0.19,1.1,0.1,0.79,848.8,827.5,940,906.85,0.76
DMR Hydroengineering & Infrastructures Limited,12/7/21,21,6000,2.09,,,8.53,14.29,,11.43,25,24.05,26.25,26.25,25
Go Fashion (India) Limited,11/30/21,690,21,1013.61,,100.73,262.08,49.7,,135.46,1316,1144.15,1341,1252.6,81.54
Omnipotent Industries Limited,11/29/21,63,2000,18.9,,,1,1.34,,1.17,99,94.05,99,94.05,49.29
Tarsons Products Limited,11/26/21,662,22,1023.47,,115.77,184.58,10.56,1.83,77.49,700,634,840,840,26.89
Latent View Analytics Limited,11/23/21,197,76,600,,145.48,850.66,119.44,3.87,326.49,530,462,548.75,488.6,148.02
Sapphire Foods India Limited,11/18/21,1180,12,2073.25,,7.5,3.46,8.7,,6.62,1311,1160,1383.6,1216.05,3.06
One 97 Communications Limited,11/18/21,2150,6,18300,,2.79,0.24,1.66,,1.89,1955,1564,1961.05,1564.15,-27.25
Suyog Gurbaxani Funicular Ropeways Limited,11/16/21,45,3000,29.5,,,1.98,0.56,,1.27,45.45,45.1,45.45,45.1,0.22
PB Fintech Limited,11/15/21,980,15,5625,,24.89,7.82,3.31,,16.59,1150,1145,1249,1202.9,22.74
Sigachi Industries Limited,11/15/21,163,90,125.43,,86.51,172.43,80.49,,101.91,575,570.45,603.75,603.75,270.4
S.J.S. Enterprises Limited,11/15/21,542,27,800,,1.42,2.32,1.38,,1.59,540,505.5,551,509.85,-5.93
Nidan Laboratories and Healthcare Limited,11/12/21,125,1000,50,,,0.15,3.44,,1.8,123.9,117.75,123.9,117.75,-5.8
Fino Payments Bank Limited,11/12/21,577,25,1200.29,,1.65,0.21,5.92,0.93,2.03,548,510.8,583.35,545.25,-5.5
FSN E-Commerce Ventures Limited,11/10/21,1125,12,5351.92,,91.18,112.02,12.24,1.88,81.78,2001,1994.1,2248.1,2206.7,96.15
Kotyark Industries Ltd,11/2/21,51,2000,11.26,,,3.6,10.7,,7.15,51,48.45,51.9,48.45,-5
D.K. Enterprises Global Limited,10/22/21,40,3000,7.99,,,7.43,17.58,,12.5,42,41,44.1,43.3,8.25
CWD Limited,10/13/21,180,800,18.01,,,1.91,0.71,,1.31,180.9,180.15,189,180.6,0.33
Destiny Logistics & Infra Limited,10/13/21,20,6000,5.39,,,2.13,7.43,,4.78,20.7,19.7,20.7,19.7,-1.5
Adishakti Loha and Ispat Limited,10/13/21,11,10000,2,,,0.81,2.87,,1.84,12,11.4,12,11.4,3.64
Samor Reality Limited,10/13/21,62,2000,8.06,,,2.55,0.94,,1.74,64.8,62.35,65,62.45,0.73
Dynamic Services & Security Limited,10/13/21,51,2000,24.13,,,2.33,1.56,,1.94,53,50.35,55.65,53.55,5
Bombay Metrics Supply Chain Limited,10/12/21,93,1200,4.29,,,16.3,20.69,,18.5,98.3,98.3,103.2,103.2,10.97
Promax Power Limited,10/12/21,10,10000,1.6,,,2.39,11.38,,6.89,11,11,11.55,11.55,15.5
Shri Venkatesh Refineries Limited,10/11/21,40,3000,11.71,,,2.43,3.81,,3.12,42,42,43.5,42.1,5.25
Aditya Birla Sun Life AMC Ltd,10/11/21,712,20,2768.26,,10.36,4.39,3.24,,5.25,712,696,721,699.65,-1.73
Getalong Enterprise Limited,10/8/21,69,2000,5.18,,,2.07,2.11,,2.09,73.05,72.1,76.7,76.7,11.16
Jainam Ferro Alloys (I) Limited,10/8/21,70,2000,19.61,,,6.23,7.07,,6.65,73,73,76.65,73.1,4.43
Paras Defence And Space Technologies Limited,10/1/21,175,85,170.78,,169.65,927.7,112.81,,304.26,475,456,498.75,498.75,185
Quadpro ITeS Limited,9/30/21,20,6000,14.1,68.96,,8.71,23.53,,16.12,19.8,18.85,20,19.85,-0.75
SBL Infratech Limited,9/28/21,111,1200,2.37,,,0.76,2.37,,1.56,130,125,130,125,12.61
Markolines Traffic Controls Limited,9/27/21,78,1600,40,,,2.78,1.57,,2.18,62.2,59.1,65.3,65.3,-16.28
Prevest Denpro Limited,9/27/21,84,1600,26.61,,5.78,78.98,32.87,,38.12,180.55,180.55,189.55,189.55,125.65
Sansera Engineering Limited,9/24/21,744,20,1282.98,,26.47,11.37,3.15,1.37,11.47,811.35,800.8,842,818.7,10.04
Platinumone Business Services Limited,9/16/21,92,1200,3.89,,,3.34,2.65,,2.99,99.95,99.95,104.9,104.9,14.02
BEW Engineering Limited,9/16/21,58,2000,3.97,,,18.51,24.79,,21.65,127.6,127.6,133.95,133.95,130.95
Naapbooks Limited,9/15/21,74,1600,3.99,,4,0.6,2.52,,1.58,77,74,77.7,74,0
Vijaya Diagnostic Centre Limited,9/14/21,531,28,1895.04,,13.07,1.32,1.09,0.98,4.54,542.3,533.65,650.75,619.3,16.63
Ami Organics Limited,9/14/21,610,24,569.64,,86.64,154.81,13.36,,64.54,902,841.2,967.25,934.55,53.2
Aashka Hospitals Limited,9/1/21,121,1000,101.64,,,2.02,0.75,,1.3,121.1,115.05,121.1,115.05,-4.92
DU Digital Technologies Limited,8/26/21,65,2000,4.49,,,6.71,39.28,,22.99,60,57,63,63,-3.08
Aptus Value Housing Finance India Ltd,8/24/21,353,42,2780.05,,32.41,33.91,1.35,,17.2,329.95,329.95,354.6,346.5,-1.84
Chemplast Sanmar Limited,8/24/21,541,27,3850,,2.7,1.03,2.29,,2.17,525,510.3,550,534.9,-1.13
Nuvoco Vistas Corporation Ltd,8/23/21,570,26,5000,,4.23,0.66,0.73,,1.71,471,471,550,531.3,-6.79
CarTrade Tech Limited,8/20/21,1618,9,2998.51,,35.45,41,2.75,,20.29,1600,1476,1610,1500.1,-7.29
Exxaro Tiles Limited,8/16/21,120,125,161.09,,17.67,5.36,40.05,2.53,22.65,126,126,132.3,132.25,10.21
Krsnaa Diagnostics Limited,8/16/21,954,15,1213.33,,49.83,116.3,41.95,0.98,64.38,1025,961.45,1099.5,990.75,3.85
Devyani International Limited,8/16/21,90,165,1838,,95.27,213.06,39.48,4.7,116.7,141,120.75,141.05,123.35,37.06
Windlas Biotech Limited,8/16/21,460,30,401.54,,24.4,15.73,24.22,,22.44,439,405,452.1,406.7,-11.59
Network People Services Technologies Limited,8/10/21,80,1600,13.7,,1.1,10.4,50.68,,22.37,83.95,79.8,83.95,79.9,-0.12
Rex Pipes and Cables Industries Ltd,8/10/21,26,4000,6.24,,,6.84,41.13,,23.99,26.7,26.5,28,26.8,3.08
Rolex Rings Limited,8/9/21,900,16,731,,143.58,360.11,24.49,,130.44,1249,1105,1264.95,1166.55,29.62
Gretex Corporate Services Ltd,8/9/21,170,800,5.13,,,2.37,12.17,,7.27,172,171.15,180.6,180.6,6.24
Glenmark Life Sciences Limited,8/6/21,720,20,1513.6,,36.97,122.54,14.63,,44.17,751.1,737.35,799.95,748.2,3.92
Tatva Chintan Pharma Chem Ltd,7/29/21,1083,13,500,,185.23,512.22,35.35,,180.36,2111.8,2111.8,2486.3,2310.25,113.32
